SPONSORED BY GRASSROOTS ANALYTICS,,,,,,,,,,,,,,,,
Calculated by The Downballot,,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,,2024,,,,,,,2020,,,,,
,,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
AK-AL,Nick Begich,(R),,"140,026","184,458","338,177",41.41%,54.54%,-13.14%,,"153,778","189,951","357,569",43.01%,53.12%,-10.12%
AL-01,Barry Moore,(R),,"103,117","220,873","326,952",31.54%,67.56%,-36.02%,,,,,,,
AL-02,Shomari Figures,(D),,"123,966","165,891","292,303",42.41%,56.75%,-14.34%,,,,,,,
AL-03,Mike Rogers,(R),,"82,654","229,676","314,869",26.25%,72.94%,-46.69%,,,,,,,
AL-04,Robert Aderholt,(R),,"53,098","267,953","323,449",16.42%,82.84%,-66.43%,,,,,,,
AL-05,Dale Strong,(R),,"122,344","224,704","351,650",34.79%,63.90%,-29.11%,,,,,,,
AL-06,Gary Palmer,(R),,"111,288","231,122","346,221",32.14%,66.76%,-34.61%,,,,,,,
AL-07,Terri Sewell,(D),,"175,944","122,397","300,907",58.47%,40.68%,17.80%,,,,,,,
AR-01,Rick Crawford,(R),,"72,183","196,035","273,446",26.40%,71.69%,-45.29%,,"80,516","197,832","286,792",28.07%,68.98%,-40.91%
AR-02,French Hill,(R),,"131,089","180,710","319,500",41.03%,56.56%,-15.53%,,"140,254","183,964","333,041",42.11%,55.24%,-13.12%
AR-03,Steve Womack,(R),,"112,073","189,161","309,672",36.19%,61.08%,-24.89%,,"110,479","180,794","300,274",36.79%,60.21%,-23.42%
AR-04,Bruce Westerman,(R),,"81,560","193,335","280,058",29.12%,69.03%,-39.91%,,"92,683","198,057","298,962",31.00%,66.25%,-35.25%
AZ-01,David Schweikert,(R),,"216,232","230,237","450,734",47.97%,51.08%,-3.11%,,"231,887","225,013","462,784",50.11%,48.62%,1.49%
AZ-02,Eli Crane,(R),,"174,969","237,306","416,477",42.01%,56.98%,-14.97%,,"183,714","215,659","405,633",45.29%,53.17%,-7.88%
AZ-03,Yassamin Ansari,(D),,"147,522","62,762","213,222",69.19%,29.44%,39.75%,,"170,840","54,754","229,285",74.51%,23.88%,50.63%
AZ-04,Greg Stanton,(D),,"182,893","159,723","347,506",52.63%,45.96%,6.67%,,"201,238","162,975","371,497",54.17%,43.87%,10.30%
AZ-05,Andy Biggs,(R),,"175,673","264,571","445,025",39.47%,59.45%,-19.98%,,"171,278","239,646","417,419",41.03%,57.41%,-16.38%
AZ-06,Juan Ciscomani,(R),,"216,024","219,323","440,175",49.08%,49.83%,-0.75%,,"214,896","214,580","436,079",49.28%,49.21%,0.07%
AZ-07,Adelita Grijalva,(D),,"170,352","108,028","281,685",60.48%,38.35%,22.13%,,"194,860","97,580","296,840",65.64%,32.87%,32.77%
AZ-08,Abe Hamadeh,(R),,"162,183","226,186","392,023",41.37%,57.70%,-16.33%,,"171,266","225,761","402,630",42.54%,56.07%,-13.53%
AZ-09,Paul Gosar,(R),,"137,012","262,106","402,472",34.04%,65.12%,-31.08%,,"132,165","225,719","363,126",36.40%,62.16%,-25.76%
CA-01,James Gallagher,(R),,"186,337","144,548","341,947",54.49%,42.27%,12.22%,,,,,,,
CA-02,Jared Huffman,(D),,"236,586","140,619","389,445",60.75%,36.11%,24.64%,,,,,,,
CA-03,Kevin Kiley,(I),,"195,618","158,363","366,674",53.35%,43.19%,10.16%,,,,,,,
CA-04,Mike Thompson,(D),,"191,846","141,949","344,131",55.75%,41.25%,14.50%,,,,,,,
CA-05,Tom McClintock,(R),,"139,318","214,442","362,880",38.39%,59.09%,-20.70%,,,,,,,
CA-06,Ami Bera,(D),,"176,946","148,674","336,566",52.57%,44.17%,8.40%,,,,,,,
CA-07,Doris Matsui,(D),,"189,995","145,560","346,796",54.79%,41.97%,12.81%,,,,,,,
CA-08,John Garamendi,(D),,"204,669","98,182","312,678",65.46%,31.40%,34.06%,,,,,,,
CA-09,Josh Harder,(D),,"145,369","114,699","268,495",54.14%,42.72%,11.42%,,,,,,,
CA-10,Mark DeSaulnier,(D),,"246,231","119,354","378,177",65.11%,31.56%,33.55%,,,,,,,
CA-11,Nancy Pelosi,(D),,"295,463","50,870","361,182",81.80%,14.08%,67.72%,,,,,,,
CA-12,Lateefah Simon,(D),,"269,144","33,875","318,388",84.53%,10.64%,73.89%,,,,,,,
CA-13,Adam Gray,(D),,"101,906","101,125","208,792",48.81%,48.43%,0.37%,,,,,,,
CA-14,VACANT (Swalwell),(D),,"186,745","87,471","285,569",65.39%,30.63%,34.76%,,,,,,,
CA-15,Kevin Mullin,(D),,"220,603","74,250","305,590",72.19%,24.30%,47.89%,,,,,,,
CA-16,Sam Liccardo,(D),,"246,022","82,261","340,419",72.27%,24.16%,48.11%,,,,,,,
CA-17,Ro Khanna,(D),,"177,917","74,911","264,340",67.31%,28.34%,38.97%,,,,,,,
CA-18,Zoe Lofgren,(D),,"148,835","81,258","237,523",62.66%,34.21%,28.45%,,,,,,,
CA-19,Jimmy Panetta,(D),,"246,254","116,802","376,248",65.45%,31.04%,34.41%,,,,,,,
CA-20,Vince Fong,(R),,"103,310","204,962","315,411",32.75%,64.98%,-32.23%,,,,,,,
CA-21,Jim Costa,(D),,"104,289","92,237","201,925",51.65%,45.68%,5.97%,,,,,,,
CA-22,David Valadao,(R),,"81,817","84,994","171,356",47.75%,49.60%,-1.85%,,,,,,,
CA-23,Jay Obernolte,(R),,"108,128","161,911","277,288",38.99%,58.39%,-19.40%,,,,,,,
CA-24,Salud Carbajal,(D),,"214,293","126,559","351,804",60.91%,35.97%,24.94%,,,,,,,
CA-25,Raul Ruiz,(D),,"140,058","124,338","270,412",51.79%,45.98%,5.81%,,,,,,,
CA-26,Julia Brownley,(D),,"193,294","140,781","343,771",56.23%,40.95%,15.28%,,,,,,,
CA-27,George Whitesides,(D),,"158,101","129,273","296,345",53.35%,43.62%,9.73%,,,,,,,
CA-28,Judy Chu,(D),,"199,379","116,724","326,913",60.99%,35.70%,25.28%,,,,,,,
CA-29,Luz Rivas,(D),,"156,025","75,625","239,016",65.28%,31.64%,33.64%,,,,,,,
CA-30,Laura Friedman,(D),,"233,119","96,524","341,310",68.30%,28.28%,40.02%,,,,,,,
CA-31,Gil Cisneros,(D),,"159,494","123,786","292,043",54.61%,42.39%,12.23%,,,,,,,
CA-32,Brad Sherman,(D),,"219,603","129,673","359,755",61.04%,36.04%,25.00%,,,,,,,
CA-33,Pete Aguilar,(D),,"132,891","108,565","248,705",53.43%,43.65%,9.78%,,,,,,,
CA-34,Jimmy Gomez,(D),,"156,729","48,090","214,525",73.06%,22.42%,50.64%,,,,,,,
CA-35,Norma Torres,(D),,"136,179","115,899","259,995",52.38%,44.58%,7.80%,,,,,,,
CA-36,Ted Lieu,(D),,"261,912","111,107","385,621",67.92%,28.81%,39.11%,,,,,,,
CA-37,Sydney Kamlager-Dove,(D),,"184,950","42,949","235,124",78.66%,18.27%,60.39%,,,,,,,
